"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002449","lymphocyte mediated immunity","259/3662","436/15509","3.55473037153449e-59","2.20322188427708e-55","1.32497897322143e-55","BTK/HFE/CD74/SLAMF7/TNFRSF1B/PARP3/FOXP3/FCGR2B/TBX21/MLH1/IL4R/PTPRC/P2RX7/ICAM1/MSH2/IL12RB1/GZMB/CD40/SMAD7/TLR8/CD40LG/IL21R/NBN/FCER2/LILRB1/IL27RA/CLC/TGFB1/AHR/EXOSC3/GATA3/PPP3CB/C1QBP/NSD2/CTSC/HPX/CD81/AICDA/IL12B/IL4/BCL6/CD160/PRDX1/ARG1/CLU/SHLD2/IL1B/CD70/C3/FOXJ1/NECTIN2/ULBP2/NDFIP1/ARL8B/IL6/IL10/IL21/SLC15A4/ARRB2/LYST/IL18/MR1/CD96/CD8A/CD1A/CD1C/CD1B/TNFSF13/PRKCD/MBL2/NOD2/KIR3DL1/FADD/INPP5D/LGALS9/SERPINB9/KIF5B/STAT5B/LIG4/LEP/CD19/CD28/HLA-DQB1/PRF1/MICA/BTN3A2/LILRB4/CARD9/ZP3/KIR2DL4/HMGB1/TUBB/CD55/HLA-DQA1/CR1/HLA-DOA/TAP2/TNF/HLA-E/HLA-G/TAP2/HLA-DQB1/TAP2/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DRA/TNF/HLA-B/HLA-E/HLA-A/HLA-A/HLA-G/HLA-DPB1/TAP2/HLA-B/HLA-DQA1/NCR3/HLA-DPB1/LTA/TNF/HLA-A/HLA-A/HLA-B/HLA-DQA1/HLA-E/NCR3/HLA-DQB1/HLA-DQA1/TAP2/LTA/HLA-DPB1/HLA-A/HLA-DRA/HLA-DQA1/TNF/TAP2/TNF/HLA-B/TNF/HLA-DRA/HLA-A/HLA-E/HLA-DPB1/TNF/HLA-E/LTA/HLA-G/HLA-DPB1/HLA-DPB1/HLA-DRB4/MICA/HLA-DQB1/HLA-DPA1/LTA/HLA-DQA1/HLA-A/HLA-DQB1/HLA-DQA1/HLA-B/TAP2/TNF/MICA/HLA-G/HLA-DQA1/HLA-DQB1/HLA-E/HLA-DRA/MICA/HLA-G/HLA-A/HLA-G/NCR3/HLA-DQA1/HLA-E/HLA-DPB1/NCR3/NCR3/HLA-G/HLA-DQA1/TAP2/HLA-DPB1/NCR3/LTA/HLA-DQA1/PTPRC/KIR2DL4/B2M/KIR3DL1/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/KIR3DL1/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR3DL1/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/LILRB4/KIR2DL4/HLA-G/KIR3DL1/KIR3DL1/KIR3DL1/LILRB1/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/KIR3DL1/HLA-DRA/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/LILRB4/KIR3DL1/KIR2DL4/LILRB4/KIR2DL4/KIR3DL1/INPP5D/KIR3DL1/KIR3DL1/KIR3DL1/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/KIR3DL1/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR3DL1","259"
"GO:0001906","cell killing","180/3662","281/15509","6.3690023139986e-48","1.97375381710816e-44","1.18698090494047e-44","TYROBP/LTF/SLAMF7/SPI1/FCGR2B/STXBP2/PTPRC/CD59/P2RX7/ICAM1/LYZ/HSP90AB1/IL12RB1/CTSG/GZMB/FCER2/LILRB1/HAMP/MAPK8/PPP3CB/CTSC/IFNG/IL12B/IL4/GNLY/CD160/PRDX1/ARG1/SEMG1/H2BC11/C3/NECTIN2/ULBP2/ARL8B/IL21/ARRB2/LYST/IL18/MR1/CD1A/CD1C/CD1B/SYK/KIR3DL1/FADD/CX3CR1/LGALS9/ITGAM/SERPINB9/KIF5B/BCL2L1/STAT5B/LEP/F2/PRF1/MICA/KIR2DL4/TUBB/CD55/ELANE/HMGN2/TAP2/HLA-E/HLA-G/TAP2/TAP2/HLA-DRA/HLA-B/HLA-E/HLA-A/HLA-A/HLA-G/TAP2/HLA-B/NCR3/HLA-A/HLA-A/HLA-B/HLA-E/NCR3/TAP2/HLA-A/HLA-DRA/TAP2/HLA-B/HLA-DRA/HLA-A/HLA-E/HLA-E/HLA-G/MICA/HLA-A/HLA-B/TAP2/MICA/HLA-G/HLA-E/HLA-DRA/MICA/HLA-G/HLA-A/HLA-G/NCR3/HLA-E/NCR3/NCR3/HLA-G/TAP2/NCR3/PTPRC/KIR2DL4/B2M/KIR3DL1/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/KIR3DL1/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR3DL1/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/HLA-G/KIR3DL1/KIR3DL1/KIR3DL1/LILRB1/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/KIR3DL1/HLA-DRA/KIR2DL4/KIR2DL4/KIR2DL4/ELANE/KIR2DL4/LILRB1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR3DL1/KIR3DL1/KIR3DL1/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/KIR3DL1/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR3DL1","180"
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","196/3662","320/15509","1.02609080302654e-47","2.11990359905283e-44","1.27487281877789e-44","BAD/SELE/CD4/IGF1/CD74/RUNX3/CD44/ARID1B/FOXP3/AP3D1/RHOA/CBFB/GLI2/ACTB/IL4R/PTPRC/IL12RB1/ABL1/SMARCB1/XBP1/CD40LG/NFAT5/PYCARD/CSK/IL7/LILRB1/IL27RA/JAK3/GATA3/MAP3K8/ZMIZ1/SMARCD2/CCL2/EFNB3/ZBTB16/CD5/MDK/CD81/IFNG/IL12B/IL4/BCL6/CD86/HES1/IL1A/ZAP70/ITGA4/IGFBP2/CD160/ARID1A/MYB/FOXO3/NR4A3/GPAM/CD80/SOX4/IL1B/TNFSF9/CD70/CCR7/EPO/RARA/FLOT2/AP3B1/PTPN22/IL2RA/IL6/HLX/CCL21/IL21/SLC7A1/ABL2/DUSP10/IL2RG/IL18/RUNX1/TNFRSF13C/ICOSLG/ITGB2/VCAM1/TGFBR2/SPTA1/SHH/SYK/BRD7/RAG1/NOD2/FADD/RHOH/LGALS9/PTAFR/CCL19/KAT5/RELA/STAT5B/SELP/LEP/CD28/PTPN11/HLA-DQB1/KLHL25/IRAK1/SOCS1/LILRB4/ZP3/ARID2/HMGB1/CD55/FUT4/HLA-DQA1/CD47/SRC/ELANE/DPP4/PDCD1LG2/PNP/CR1/HLA-DOA/TNF/HLA-E/HLA-G/HLA-DQB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DRA/TNF/HLA-E/HLA-A/HLA-A/HLA-G/HLA-DPB1/HLA-DQA1/HLA-DPB1/TNF/HLA-A/HLA-A/HLA-DQA1/HLA-E/HLA-DQB1/HLA-DQA1/HLA-DPB1/HLA-A/HLA-DRA/HLA-DQA1/TNF/TNF/TNF/HLA-DRA/HLA-A/HLA-E/HLA-DPB1/TNF/HLA-E/HLA-G/HLA-DPB1/HLA-DPB1/HLA-DRB4/HLA-DQB1/HLA-DPA1/HLA-DQA1/HLA-A/HLA-DQB1/HLA-DQA1/TNF/HLA-G/HLA-DQA1/HLA-DQB1/HLA-E/HLA-DRA/HLA-G/HLA-A/HLA-G/HLA-DQA1/HLA-E/HLA-DPB1/HLA-G/HLA-DQA1/HLA-DPB1/HLA-DQA1/PTPRC/CCL5/CD24/B2M/CCL5/LILRB1/SMARCB1/LILRB4/HLA-G/LILRB1/LILRB1/HLA-DRA/ELANE/LILRB1/LILRB4/LILRB4","196"
"GO:0001909","leukocyte mediated cytotoxicity","163/3662","243/15509","1.80678067552204e-47","2.7996066567214e-44","1.68363430842725e-44","TYROBP/SLAMF7/SPI1/FCGR2B/STXBP2/PTPRC/P2RX7/ICAM1/IL12RB1/CTSG/GZMB/LILRB1/PPP3CB/CTSC/IL12B/CD160/PRDX1/ARG1/NECTIN2/ULBP2/ARL8B/IL21/ARRB2/LYST/IL18/MR1/CD1A/CD1C/CD1B/KIR3DL1/FADD/CX3CR1/LGALS9/ITGAM/SERPINB9/KIF5B/STAT5B/LEP/F2/PRF1/MICA/KIR2DL4/TUBB/ELANE/TAP2/HLA-E/HLA-G/TAP2/TAP2/HLA-DRA/HLA-B/HLA-E/HLA-A/HLA-A/HLA-G/TAP2/HLA-B/NCR3/HLA-A/HLA-A/HLA-B/HLA-E/NCR3/TAP2/HLA-A/HLA-DRA/TAP2/HLA-B/HLA-DRA/HLA-A/HLA-E/HLA-E/HLA-G/MICA/HLA-A/HLA-B/TAP2/MICA/HLA-G/HLA-E/HLA-DRA/MICA/HLA-G/HLA-A/HLA-G/NCR3/HLA-E/NCR3/NCR3/HLA-G/TAP2/NCR3/PTPRC/KIR2DL4/B2M/KIR3DL1/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/KIR3DL1/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR3DL1/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/HLA-G/KIR3DL1/KIR3DL1/KIR3DL1/LILRB1/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/KIR3DL1/HLA-DRA/KIR2DL4/KIR2DL4/KIR2DL4/ELANE/KIR2DL4/LILRB1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR3DL1/KIR3DL1/KIR3DL1/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/KIR3DL1/KIR3DL1/KIR2DL4/KIR2DL4/KIR3DL1/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR3DL1","163"
"GO:0022409","positive regulation of cell-cell adhesion","214/3662","367/15509","4.54498147535345e-47","5.63395903684814e-44","3.38816408510033e-44","BAD/SELE/CD4/IGF1/CD74/RUNX3/CD44/ARID1B/FOXP3/PTPRU/AP3D1/RHOA/CBFB/GLI2/ACTB/IL4R/PTPRC/CEACAM6/IL12RB1/ABL1/SMARCB1/XBP1/CTSG/BMP7/SMAD7/CD40LG/NFAT5/PIEZO1/PYCARD/CSK/TJP1/IL7/LILRB1/IL27RA/JAK3/GATA3/MAP3K8/ZMIZ1/SMARCD2/CCL2/EFNB3/ZBTB16/CD5/MDK/CD81/IFNG/IL12B/IL4/BCL6/CD86/WNT5A/HES1/IL1A/ZAP70/ITGA4/IGFBP2/CD160/ARID1A/MYB/FOXO3/NR4A3/GPAM/CD80/SOX4/IL1B/TNFSF9/CD70/CCR7/PODXL/EPO/RARA/FLOT2/AP3B1/PTPN22/IL2RA/ADAM19/IL6/HLX/IL10/CCL21/IL21/SLC7A1/ABL2/DUSP10/IL2RG/IL18/CXCL13/NODAL/DMTN/RUNX1/TNFRSF13C/ICOSLG/ITGB2/JAK1/VCAM1/TGFBR2/SPTA1/SHH/SYK/BRD7/RAG1/NOD2/FADD/RHOH/LGALS9/PTAFR/FGG/FGA/CCL19/KAT5/RELA/STAT5B/SELP/LEP/CD28/PTPN11/HLA-DQB1/KLHL25/IRAK1/SOCS1/LILRB4/ZP3/ARID2/HMGB1/CD55/FUT4/HLA-DQA1/CD47/SRC/ELANE/DPP4/PDCD1LG2/PNP/CR1/HLA-DOA/TNF/HLA-E/HLA-G/HLA-DQB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DRA/TNF/HLA-E/HLA-A/HLA-A/HLA-G/HLA-DPB1/HLA-DQA1/HLA-DPB1/TNF/HLA-A/HLA-A/HLA-DQA1/HLA-E/HLA-DQB1/HLA-DQA1/HLA-DPB1/HLA-A/HLA-DRA/HLA-DQA1/TNF/TNF/TNF/HLA-DRA/HLA-A/HLA-E/HLA-DPB1/TNF/HLA-E/HLA-G/HLA-DPB1/HLA-DPB1/HLA-DRB4/HLA-DQB1/HLA-DPA1/HLA-DQA1/HLA-A/HLA-DQB1/HLA-DQA1/TNF/HLA-G/HLA-DQA1/HLA-DQB1/HLA-E/HLA-DRA/HLA-G/HLA-A/HLA-G/HLA-DQA1/HLA-E/HLA-DPB1/HLA-G/HLA-DQA1/HLA-DPB1/HLA-DQA1/PTPRC/CCL5/CD24/B2M/CCL5/LILRB1/SMARCB1/LILRB4/HLA-G/LILRB1/LILRB1/HLA-DRA/TJP1/ELANE/LILRB1/LILRB4/LILRB4","214"
"GO:0002706","regulation of lymphocyte mediated immunity","172/3662","268/15509","5.3999675294394e-46","5.5781664579109e-43","3.35461140732367e-43","BTK/HFE/TNFRSF1B/PARP3/FOXP3/FCGR2B/TBX21/MLH1/PTPRC/P2RX7/MSH2/IL12RB1/CD40/SMAD7/FCER2/LILRB1/IL27RA/CLC/TGFB1/AHR/EXOSC3/GATA3/PPP3CB/NSD2/HPX/CD81/IL12B/IL4/BCL6/CD160/ARG1/SHLD2/IL1B/C3/FOXJ1/NECTIN2/NDFIP1/IL6/IL10/IL21/SLC15A4/ARRB2/IL18/MR1/CD96/CD1A/CD1C/CD1B/TNFSF13/NOD2/FADD/LGALS9/SERPINB9/STAT5B/LEP/CD28/MICA/LILRB4/ZP3/KIR2DL4/HMGB1/CD55/CR1/TAP2/TNF/HLA-E/HLA-G/TAP2/TAP2/HLA-DRA/TNF/HLA-B/HLA-E/HLA-A/HLA-A/HLA-G/TAP2/HLA-B/NCR3/LTA/TNF/HLA-A/HLA-A/HLA-B/HLA-E/NCR3/TAP2/LTA/HLA-A/HLA-DRA/TNF/TAP2/TNF/HLA-B/TNF/HLA-DRA/HLA-A/HLA-E/TNF/HLA-E/LTA/HLA-G/MICA/LTA/HLA-A/HLA-B/TAP2/TNF/MICA/HLA-G/HLA-E/HLA-DRA/MICA/HLA-G/HLA-A/HLA-G/NCR3/HLA-E/NCR3/NCR3/HLA-G/TAP2/NCR3/LTA/PTPRC/KIR2DL4/B2M/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/LILRB4/KIR2DL4/HLA-G/LILRB1/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/HLA-DRA/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/LILRB1/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/LILRB4/KIR2DL4/LILRB4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4/KIR2DL4","172"
